participant.ID,experiment,gender,age,comp.context,level,winner.name,athleticism.perception,intelligence.perception
184,2,cisgender_man,18,athletic,elementary,Jamie,1,2
185,2,cisgender_man,18,athletic,elementary,Jamie,1,2
186,2,cisgender_woman,18,athletic,elementary,Jamie,1,2
187,2,cisgender_woman,18,athletic,elementary,Jamie,3,1
188,2,cisgender_woman,18,athletic,elementary,Jamie,2,3
189,2,cisgender_man,23,athletic,elementary,Jamie,1,2
190,2,cisgender_woman,19,athletic,elementary,Jamie,2,1
191,2,gender_fluid,20,athletic,elementary,Jamie,2,1
192,2,cisgender_man,18,athletic,elementary,Jamie,1,0.5
193,2,cisgender_woman,18,athletic,elementary,Jamie,1,1
194,2,cisgender_woman,18,athletic,elementary,Jamie,2,2
195,2,pnts,20,athletic,elementary,Morgan,3,2
196,2,cisgender_woman,18,athletic,elementary,Morgan,2,2
197,2,cisgender_woman,18,athletic,elementary,Morgan,2,1
198,2,cisgender_woman,18,athletic,elementary,Morgan,1,0.5
199,2,cisgender_woman,20,athletic,elementary,Morgan,2,1
200,2,cisgender_woman,18,athletic,elementary,Morgan,2,1
201,2,cisgender_woman,18,athletic,elementary,Morgan,2,2
202,2,cisgender_man,21,athletic,elementary,Morgan,1,2
203,2,cisgender_man,19,athletic,elementary,Morgan,2,1
204,2,cisgender_woman,18,athletic,elementary,Morgan,2,2
205,2,cisgender_man,18,athletic,elementary,Morgan,2,1
206,2,cisgender_man,18,athletic,elementary,Morgan,2,1
207,2,cisgender_woman,18,athletic,elementary,Morgan,1,2
208,2,cisgender_woman,18,athletic,elementary,Morgan,1,2
209,2,cisgender_woman,18,athletic,elementary,Morgan,2,2
210,2,cisgender_woman,18,athletic,elementary,Morgan,2,3
211,2,cisgender_woman,18,athletic,elementary,Morgan,2,2
212,2,cisgender_woman,18,athletic,elementary,Morgan,3,2
213,2,cisgender_woman,18,athletic,elementary,Morgan,1,2
214,2,cisgender_woman,18,athletic,elementary,Morgan,2,3
215,2,cisgender_woman,18,athletic,elementary,Morgan,2,2
216,2,cisgender_man,18,athletic,elementary,Morgan,2,2
217,2,cisgender_woman,18,athletic,elementary,Morgan,1,2
218,2,cisgender_woman,18,athletic,highschool,Jamie,1,1
219,2,cisgender_woman,18,athletic,highschool,Jamie,1,2
220,2,cisgender_woman,18,athletic,highschool,Jamie,2,3
221,2,cisgender_man,18,athletic,highschool,Jamie,1,1
222,2,cisgender_man,18,athletic,highschool,Jamie,2,1
223,2,cisgender_man,18,athletic,highschool,Jamie,2,2
224,2,cisgender_woman,19,athletic,highschool,Jamie,1,1
225,2,cisgender_man,18,athletic,highschool,Jamie,1,2
226,2,cisgender_woman,18,athletic,highschool,Jamie,0.5,2
227,2,cisgender_man,18,athletic,highschool,Jamie,1,2
228,2,cisgender_woman,18,athletic,highschool,Jamie,3,0.5
229,2,cisgender_man,19,athletic,highschool,Jamie,2,2
230,2,cisgender_woman,18,athletic,highschool,Jamie,3,1
231,2,cisgender_woman,18,athletic,highschool,Jamie,1,1
232,2,cisgender_woman,18,athletic,highschool,Jamie,1,2
233,2,nonbinary,18,athletic,highschool,Jamie,1,2
234,2,cisgender_woman,18,athletic,highschool,Jamie,2,1
235,2,cisgender_woman,18,athletic,highschool,Jamie,1,1
236,2,cisgender_man,18,athletic,highschool,Jamie,2,1
237,2,cisgender_woman,19,athletic,highschool,Jamie,2,0.5
238,2,cisgender_man,19,athletic,highschool,Jamie,1,1
239,2,cisgender_woman,19,athletic,highschool,Jamie,1,2
240,2,cisgender_man,18,athletic,highschool,Morgan,2,1
241,2,cisgender_woman,19,athletic,highschool,Morgan,3,1
242,2,cisgender_woman,18,athletic,highschool,Morgan,2,3
243,2,cisgender_woman,18,athletic,highschool,Morgan,1,2
244,2,cisgender_woman,19,athletic,highschool,Morgan,2,1
245,2,cisgender_woman,18,athletic,highschool,Morgan,1,2
